Context,Response
hello,hey how are you doing today
how are you,i am doing alright thanks for asking
i feel sad,i am sorry to hear that do you want to talk about it
i feel anxious,that sounds difficult what is making you anxious
i feel stressed,stress can be overwhelming what is causing it
i am tired,it sounds like you need some rest
i feel lonely,loneliness can be painful you are not alone here
i overthink a lot,overthinking can be exhausting what thoughts are repeating
i feel depressed,i am really sorry you are feeling this way
i am scared,it is okay to feel scared what are you afraid of
i failed my exam,failure does not define you what happened
i had a bad day,i am here tell me what made it bad
i am confused,confusion happens sometimes what are you unsure about
i feel insecure,insecurity is common what makes you feel that way
i need motivation,you are capable of more than you think
i feel angry,anger often hides hurt what is bothering you
i cannot sleep,insomnia can be frustrating what is on your mind
i feel worthless,you matter more than you realize
i lost my job,that must be hard how are you coping
i feel hopeless,i hear you what makes it feel hopeless
i hate myself,self compassion is important what happened
i feel jealous,jealousy is natural what triggered it
i feel empty,emptiness can feel heavy tell me more
i have no friends,building connections takes time
i feel ignored,being ignored hurts what happened
i am overwhelmed,let us break it down step by step
i feel lost,it is okay to not have everything figured out
i regret my past,we all make mistakes what is troubling you
i feel like crying,crying can release emotion it is okay
i want to give up,i am really glad you shared that with me
i feel stressed at work,work stress can be heavy what happened
i feel stressed about exams,exam pressure can be intense how can i help
i am scared of failure,fear of failure is common what worries you
i am afraid of people,social fear can feel isolating
i feel tired all the time,have you been sleeping well
i cannot focus,what is distracting you
i feel unmotivated,sometimes small steps help start tiny
i am not good enough,that thought can be painful why do you feel that
